City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
5,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
9,Alugan,PH,79.75,overcast clouds,12.2188,125.4808,JM Lodge
10,Phan Thiet,VN,77.76,overcast clouds,10.9333,108.1,Hotel Saigon-PT
14,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
16,Arraial Do Cabo,BR,75.81,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
17,Rikitea,PF,79.29,clear sky,-23.1203,-134.9692,People ThankYou
18,Auki,SB,79.14,light rain,-8.7676,160.7034,Auki Motel
21,Georgetown,MY,80.53,thunderstorm,5.4112,100.3354,Cititel Penang
23,Kawardha,IN,82.6,scattered clouds,22.0167,81.25,STARiHOTELS Raipur Road kawardha
25,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
31,Kontagora,NG,86.2,overcast clouds,10.3999,5.4695,Queens Guest Inn
32,Bandarbeyla,SO,78.69,few clouds,9.4942,50.8122,JABIR HOTEL
34,Bosaso,SO,79.9,clear sky,11.2842,49.1816,Red Sea Hotel
40,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
42,Pontianak,ID,76.98,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
43,Mandaguacu,BR,78.4,clear sky,-23.3472,-52.0953,Comaq Palace Hotel
48,Kapaa,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
49,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
50,Yeppoon,AU,80.38,scattered clouds,-23.1333,150.7333,Villa Mar Colina
51,Natal,BR,82.62,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
52,Am Timan,TD,85.08,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
53,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
59,Avarua,CK,82.45,light rain,-21.2078,-159.775,Paradise Inn
64,Bengkulu,ID,75.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
66,Butaritari,KI,79.97,light rain,3.0707,172.7902,Isles Sunset Lodge
70,Atuona,PF,79.3,few clouds,-9.8,-139.0333,Villa Enata
72,Fare,PF,81.18,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
75,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
78,Sola,VU,82.24,scattered clouds,-13.8833,167.55,Leumerus Bungalows
79,Hithadhoo,MV,83.71,few clouds,-0.6,73.0833,Scoop Guest House
83,Nelson Bay,AU,76.08,clear sky,-32.7167,152.15,Mantra Nelson Bay
91,Aswan,EG,81.7,clear sky,24.0934,32.907,Nuba Nile
92,Turbat,PK,81.14,overcast clouds,26.0023,63.044,Mubashar Quarters
99,Kihei,US,86.02,scattered clouds,20.785,-156.4656,Maui Sunset
101,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
120,Daru,PG,86.09,overcast clouds,-9.0763,143.2092,Daru Lodge
123,Bowen,AU,81.37,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
125,Vaitape,PF,81.48,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
128,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
133,Pakxan,LA,76.8,clear sky,18.3778,103.6601,Kong Kham Pheng Guesthouse
147,Isangel,VU,84.04,scattered clouds,-19.55,169.2667,Tanna Lodge
148,Itarema,BR,76.12,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
152,Mormugao,IN,78.06,scattered clouds,15.4,73.8,Coconut Creek Resort
153,Coahuayana,MX,83.55,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
155,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
165,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
167,Faanui,PF,81.5,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
