City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,62.8,90,5,10.96,clear sky
1,Bluff,NZ,-46.6,168.3333,60.19,63,7,18.95,clear sky
2,Cabedelo,BR,-6.9811,-34.8339,79.47,78,56,10.87,broken clouds
3,Ushuaia,AR,-54.8,-68.3,39.07,74,100,3.67,overcast clouds
4,Mkushi,ZM,-13.6202,29.3939,61.61,95,99,6.8,overcast clouds
5,Bathsheba,BB,13.2167,-59.5167,79.41,73,40,19.57,scattered clouds
6,Agirish,RU,61.9247,63.0231,34.39,96,99,8.99,overcast clouds
7,Ribeira Grande,PT,38.5167,-28.7,57.9,67,100,29.44,overcast clouds
8,Dikson,RU,73.5069,80.5464,-8.23,100,100,4.5,overcast clouds
9,Alugan,PH,12.2188,125.4808,79.75,89,100,10.33,overcast clouds
10,Phan Thiet,VN,10.9333,108.1,77.76,78,86,2.13,overcast clouds
11,Melfi,IT,40.9965,15.6514,33.87,79,6,5.26,clear sky
12,Magadan,RU,59.5667,150.8,16.65,61,20,8.1,few clouds
13,Havelock,US,34.8791,-76.9013,57.92,52,0,8.05,clear sky
14,Hilo,US,19.7297,-155.09,78.53,81,100,6.91,overcast clouds
15,Saskylakh,RU,71.9167,114.0833,-10.39,97,27,4.56,scattered clouds
16,Arraial Do Cabo,BR,-22.9661,-42.0278,75.81,82,26,4.92,scattered clouds
17,Rikitea,PF,-23.1203,-134.9692,79.29,73,3,16.87,clear sky
18,Auki,SB,-8.7676,160.7034,79.14,85,87,2.91,light rain
19,San Jeronimo,PE,-11.9472,-75.2829,50.32,84,71,3.44,broken clouds
20,Lebu,CL,-37.6167,-73.65,49.93,82,30,8.75,scattered clouds
21,Georgetown,MY,5.4112,100.3354,80.53,83,20,0.0,thunderstorm
22,Airai,TL,-8.9266,125.4092,68.36,56,47,2.48,scattered clouds
23,Kawardha,IN,22.0167,81.25,82.6,27,35,3.6,scattered clouds
24,Kaitangata,NZ,-46.2817,169.8464,59.14,50,9,6.15,clear sky
25,Mahebourg,MU,-20.4081,57.7,77.29,78,40,14.97,scattered clouds
26,Cascais,PT,38.6979,-9.4215,58.93,77,82,15.99,broken clouds
27,Mount Gambier,AU,-37.8333,140.7667,61.25,51,49,8.93,scattered clouds
28,Hobart,AU,-42.8794,147.3294,57.06,66,75,9.22,broken clouds
29,Upernavik,GL,72.7868,-56.1549,3.43,86,100,6.53,overcast clouds
30,Barrow,US,71.2906,-156.7887,1.42,78,100,18.41,light snow
31,Kontagora,NG,10.3999,5.4695,86.2,41,86,3.42,overcast clouds
32,Bandarbeyla,SO,9.4942,50.8122,78.69,80,11,0.38,few clouds
33,Mataura,NZ,-46.1927,168.8643,64.08,46,2,9.75,clear sky
34,Bosaso,SO,11.2842,49.1816,79.9,68,0,9.1,clear sky
35,Margate,GB,51.3813,1.3862,46.69,80,100,3.0,overcast clouds
36,Nouadhibou,MR,20.931,-17.0347,62.58,88,35,17.27,scattered clouds
37,Okhotsk,RU,59.3833,143.3,25.47,88,100,12.57,overcast clouds
38,Kodiak,US,57.79,-152.4072,45.91,31,0,9.22,clear sky
39,Castro,BR,-24.7911,-50.0119,61.45,78,54,5.26,broken clouds
40,Conde,BR,-7.2597,-34.9075,78.26,89,20,4.61,few clouds
41,Tshikapa,CD,-6.4167,20.8,69.82,93,87,2.82,light rain
42,Pontianak,ID,-0.0333,109.3333,76.98,88,20,4.61,few clouds
43,Mandaguacu,BR,-23.3472,-52.0953,78.4,69,0,4.61,clear sky
44,Qaanaaq,GL,77.484,-69.3632,-6.84,75,33,6.71,scattered clouds
45,Torbay,CA,47.6666,-52.7314,34.29,95,100,13.8,mist
46,Cape Town,ZA,-33.9258,18.4232,70.92,66,2,5.99,clear sky
47,Pechenga,RU,69.5259,31.1703,32.81,92,100,6.49,overcast clouds
48,Kapaa,US,22.0752,-159.319,79.12,82,100,12.66,overcast clouds
49,Kahului,US,20.8947,-156.47,86.02,62,40,23.02,scattered clouds
50,Yeppoon,AU,-23.1333,150.7333,80.38,69,33,14.09,scattered clouds
51,Natal,BR,-5.795,-35.2094,82.62,83,20,8.05,few clouds
52,Am Timan,TD,11.0297,20.2827,85.08,48,100,5.17,overcast clouds
53,Saint-Philippe,RE,-21.3585,55.7679,76.59,82,54,14.29,light rain
54,Guatire,VE,10.4762,-66.5427,73.56,90,84,2.86,broken clouds
55,Iquique,CL,-20.2208,-70.1431,64.71,78,14,3.96,few clouds
56,Hamilton,US,39.1834,-84.5333,60.75,41,0,13.8,clear sky
57,Saint Anthony,US,45.0205,-93.218,58.96,41,100,16.11,overcast clouds
58,Tuatapere,NZ,-46.1333,167.6833,61.81,59,34,10.33,light rain
59,Avarua,CK,-21.2078,-159.775,82.45,78,20,5.75,light rain
60,Leningradskiy,RU,69.3833,178.4167,1.04,89,80,5.28,broken clouds
61,Grand Gaube,MU,-20.0064,57.6608,74.37,87,8,5.01,clear sky
62,Muyezerskiy,RU,63.9333,31.65,31.62,88,100,14.18,overcast clouds
63,Esperance,AU,-33.8667,121.9,63.63,85,86,12.08,overcast clouds
64,Bengkulu,ID,-3.8004,102.2655,75.13,90,87,3.6,overcast clouds
65,Rocklin,US,38.7907,-121.2358,74.97,22,0,9.22,clear sky
66,Butaritari,KI,3.0707,172.7902,79.97,78,96,7.29,light rain
67,Saldanha,ZA,-33.0117,17.9442,66.25,50,3,7.67,clear sky
68,San Cristobal,VE,7.7669,-72.225,73.58,65,90,0.83,overcast clouds
69,Punta Arenas,CL,-53.15,-70.9167,44.71,81,75,4.61,broken clouds
70,Atuona,PF,-9.8,-139.0333,79.3,76,13,16.06,few clouds
71,Pisco,PE,-13.7,-76.2167,68.05,73,0,17.27,clear sky
72,Fare,PF,-16.7,-151.0167,81.18,75,13,17.76,light rain
73,Yellowknife,CA,62.456,-114.3525,19.42,70,40,17.27,scattered clouds
74,Port Hardy,CA,50.6996,-127.4199,46.58,61,75,11.5,broken clouds
75,Bambous Virieux,MU,-20.3428,57.7575,77.25,78,40,14.97,light rain
76,Ponta Do Sol,PT,32.6667,-17.1,62.71,74,23,15.26,few clouds
77,Warner Robins,US,32.621,-83.5999,68.16,43,0,8.05,clear sky
78,Sola,VU,-13.8833,167.55,82.24,76,31,10.2,scattered clouds
79,Hithadhoo,MV,-0.6,73.0833,83.71,70,24,13.65,few clouds
80,Komsomolskiy,UZ,40.4272,71.7189,65.48,49,55,3.04,broken clouds
81,Neringa,LT,55.3719,21.0647,39.76,84,20,20.33,few clouds
82,Hami,CN,42.8,93.45,52.75,21,96,1.19,overcast clouds
83,Nelson Bay,AU,-32.7167,152.15,76.08,74,10,6.51,clear sky
84,Fortuna,US,40.5982,-124.1573,55.92,66,20,13.8,few clouds
85,Kruisfontein,ZA,-34.0033,24.7314,63.88,93,72,4.0,broken clouds
86,Korgen,NO,66.0771,13.8153,32.32,97,100,4.47,light snow
87,Chifeng,CN,42.2683,118.9636,51.15,27,72,1.88,broken clouds
88,Port Alfred,ZA,-33.5906,26.891,66.18,88,100,4.0,overcast clouds
89,Khatanga,RU,71.9667,102.5,3.79,95,97,2.55,overcast clouds
90,Marsaxlokk,MT,35.8419,14.5431,55.08,62,0,8.05,clear sky
91,Aswan,EG,24.0934,32.907,81.7,13,0,10.36,clear sky
92,Turbat,PK,26.0023,63.044,81.14,26,100,3.49,overcast clouds
93,The Pas,CA,53.8251,-101.2541,33.82,60,100,11.5,overcast clouds
94,Albany,US,42.6001,-73.9662,42.03,64,88,4.0,overcast clouds
95,Bardiyah,LY,31.7561,25.0865,60.87,70,0,13.27,clear sky
96,Busselton,AU,-33.65,115.3333,54.82,78,74,8.43,broken clouds
