City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Alice Springs,AU,2022-04-05 02:17:20,-23.7,133.8833,87.35,12,1,10.36
1,Tamandare,BR,2022-04-05 02:17:21,-8.7597,-35.1047,77.31,80,12,4.74
2,Namibe,AO,2022-04-05 02:17:23,-15.1961,12.1522,68.04,82,29,6.46
3,Ushuaia,AR,2022-04-05 02:17:24,-54.8,-68.3,35.26,93,100,17.27
4,Khash,IR,2022-04-05 02:17:24,28.2211,61.2158,61.59,22,31,1.59
5,Viedma,AR,2022-04-05 02:17:25,-40.8135,-62.9967,59.07,38,10,13.38
6,Teya,RU,2022-04-05 02:17:25,60.3778,92.6267,26.83,95,100,5.7
7,Fernley,US,2022-04-05 02:17:26,39.608,-119.2518,61.75,34,100,8.01
8,Rikitea,PF,2022-04-05 02:17:26,-23.1203,-134.9692,78.33,64,46,11.54
9,Chuy,UY,2022-04-05 02:17:27,-33.6971,-53.4616,55.08,63,0,4.88
10,Cape Town,ZA,2022-04-05 02:15:04,-33.9258,18.4232,60.28,90,75,10.36
11,Barrow,US,2022-04-05 02:17:27,71.2906,-156.7887,-5.78,65,100,16.11
12,Punta Arenas,CL,2022-04-05 02:15:00,-53.15,-70.9167,37.51,81,75,26.46
13,Hilo,US,2022-04-05 02:13:06,19.7297,-155.09,76.73,79,75,5.75
14,Tezu,IN,2022-04-05 02:17:28,27.9167,96.1667,67.03,89,100,4.74
15,Jamestown,US,2022-04-05 02:17:29,42.097,-79.2353,41.18,52,100,5.75
16,Nelson Bay,AU,2022-04-05 02:17:29,-32.7167,152.15,77.05,61,0,8.86
17,Ostersund,SE,2022-04-05 02:17:30,63.1792,14.6357,20.61,93,75,5.01
18,Hermanus,ZA,2022-04-05 02:17:30,-34.4187,19.2345,61.81,82,5,11.43
19,Hithadhoo,MV,2022-04-05 02:17:31,-0.6,73.0833,82.56,67,7,1.92
20,Victoria,HK,2022-04-05 02:16:09,22.2855,114.1577,74.03,56,11,4.0
21,Alofi,NU,2022-04-05 02:17:32,-19.0595,-169.9187,73.29,100,100,3.44
22,Mataura,NZ,2022-04-05 02:17:32,-46.1927,168.8643,66.36,63,100,2.33
23,Sinnamary,GF,2022-04-05 02:17:33,5.3833,-52.95,77.43,86,98,9.24
24,Georgetown,MY,2022-04-05 02:17:18,5.4112,100.3354,82.33,86,20,4.61
25,Mayumba,GA,2022-04-05 02:17:33,-3.432,10.6554,77.07,92,100,4.63
26,Atuona,PF,2022-04-05 02:15:17,-9.8,-139.0333,79.74,74,5,21.92
27,Xilagani,GR,2022-04-05 02:17:34,40.9833,25.4167,47.89,95,100,5.46
28,Bluff,NZ,2022-04-05 02:17:35,-46.6,168.3333,63.68,76,100,7.07
29,Tuktoyaktuk,CA,2022-04-05 02:17:35,69.4541,-133.0374,-14.8,70,75,5.75
30,Santana Do Ipanema,BR,2022-04-05 02:17:36,-9.3783,-37.2453,71.55,86,0,4.36
31,Salalah,OM,2022-04-05 02:14:10,17.0151,54.0924,75.29,78,0,2.3
32,Auki,SB,2022-04-05 02:17:37,-8.7676,160.7034,81.63,85,100,9.24
33,Humboldt,US,2022-04-05 02:14:33,40.6665,-123.9178,44.85,98,100,5.01
34,Srednekolymsk,RU,2022-04-05 02:17:38,67.45,153.6833,-2.22,82,100,1.74
35,Rio Gallegos,AR,2022-04-05 02:17:38,-51.6226,-69.2181,35.65,75,0,14.97
36,Lebu,CL,2022-04-05 02:17:38,-37.6167,-73.65,55.02,80,96,14.92
37,Itupeva,BR,2022-04-05 02:17:39,-23.1531,-47.0578,74.93,69,75,13.8
38,Gusau,NG,2022-04-05 02:17:39,12.1628,6.6614,84.27,28,53,5.21
39,Cabedelo,BR,2022-04-05 02:17:40,-6.9811,-34.8339,75.87,78,11,9.86
40,Hamilton,US,2022-04-05 02:17:40,39.1834,-84.5333,53.55,69,0,8.05
41,Swan Hill,AU,2022-04-05 02:17:41,-35.3378,143.5544,77.27,33,0,1.86
42,Qaanaaq,GL,2022-04-05 02:17:41,77.484,-69.3632,28.69,72,100,8.81
43,Basoko,CD,2022-04-05 02:17:42,1.2391,23.616,70.95,93,95,1.57
44,Tuatapere,NZ,2022-04-05 02:17:42,-46.1333,167.6833,68.59,63,100,5.5
45,Port Elizabeth,ZA,2022-04-05 02:18:43,-33.918,25.5701,65.32,75,0,11.01
46,Sao Filipe,CV,2022-04-05 02:18:43,14.8961,-24.4956,71.13,77,4,5.39
47,Kabo,CF,2022-04-05 02:18:43,7.6994,18.629,77.13,62,84,3.4
48,New Norfolk,AU,2022-04-05 02:18:44,-42.7826,147.0587,61.66,58,100,3.0
49,Yuzhno-Sukhokumsk,RU,2022-04-05 02:18:44,44.6581,45.6436,46.02,79,100,4.85
50,Saint-Joseph,RE,2022-04-05 02:18:45,-21.3667,55.6167,74.21,86,42,8.68
51,Kapaa,US,2022-04-05 02:18:45,22.0752,-159.319,80.58,72,40,13.8
52,Busselton,AU,2022-04-05 02:18:46,-33.65,115.3333,64.67,51,0,9.06
53,Provideniya,RU,2022-04-05 02:18:46,64.3833,-173.3,10.51,61,0,13.42
54,Port Hawkesbury,CA,2022-04-05 02:18:47,45.6169,-61.3485,31.17,98,100,12.66
55,Goderich,CA,2022-04-05 02:18:47,43.7501,-81.7165,37.9,87,100,10.36
56,Taksimo,RU,2022-04-05 02:18:48,56.3444,114.8794,19.87,47,77,10.09
57,Palana,RU,2022-04-05 02:18:48,59.1167,159.9667,26.69,66,100,4.32
58,Castro,BR,2022-04-05 02:18:49,-24.7911,-50.0119,64.11,96,100,1.74
59,Kapit,MY,2022-04-05 02:18:49,2.0167,112.9333,75.74,97,100,1.5
60,Arraial Do Cabo,BR,2022-04-05 02:18:50,-22.9661,-42.0278,76.69,88,0,14.9
61,Marovoay,MG,2022-04-05 02:18:50,-16.1,46.6333,72.5,94,2,3.6
62,Mauganj,IN,2022-04-05 02:18:50,24.6833,81.8833,85.24,8,1,5.19
63,Newtownards,GB,2022-04-05 02:18:51,54.5924,-5.6909,51.75,88,100,12.66
64,Kruisfontein,ZA,2022-04-05 02:18:51,-34.0033,24.7314,57.88,73,2,9.17
65,Volterra,IT,2022-04-05 02:18:52,43.4003,10.86,37.4,88,5,1.86
66,Yarada,IN,2022-04-05 02:18:52,17.65,83.2667,82.72,83,20,6.91
67,Margate,GB,2022-04-05 02:17:36,51.3813,1.3862,53.31,82,100,7.0
68,Brae,GB,2022-04-05 02:18:54,60.3964,-1.353,36.1,59,100,17.34
69,Port Alfred,ZA,2022-04-05 02:18:55,-33.5906,26.891,62.74,79,0,9.35
70,Cherskiy,RU,2022-04-05 02:18:57,68.75,161.3,-0.4,85,22,3.94
71,Lagoa,PT,2022-04-05 02:18:57,39.05,-27.9833,59.14,71,60,7.9
72,Luderitz,NA,2022-04-05 02:18:58,-26.6481,15.1594,58.39,81,0,6.51
73,Lompoc,US,2022-04-05 02:18:58,34.6391,-120.4579,72.57,76,0,37.0
74,Zhanaozen,KZ,2022-04-05 02:18:59,43.3,52.8,46.69,60,71,12.01
75,Miles City,US,2022-04-05 02:18:59,46.4083,-105.8406,52.77,46,75,9.22
76,Kendari,ID,2022-04-05 02:19:00,-3.945,122.4989,85.46,65,100,1.7
77,Port Lincoln,AU,2022-04-05 02:19:00,-34.7333,135.8667,62.8,73,100,16.64
78,Poum,NC,2022-04-05 02:19:01,-20.2333,164.0167,81.01,82,100,25.08
79,Komsomolskiy,UZ,2022-04-05 02:19:01,40.4272,71.7189,59.72,47,0,6.91
80,Sisimiut,GL,2022-04-05 02:19:02,66.9395,-53.6735,24.1,95,80,3.51
81,Carnarvon,AU,2022-04-05 02:19:02,-24.8667,113.6333,82.47,61,0,12.66
82,Te Anau,NZ,2022-04-05 02:19:03,-45.4167,167.7167,64.36,75,100,5.95
83,Saint-Augustin,CA,2022-04-05 02:19:03,51.226,-58.6502,31.53,93,100,6.85
84,Townsville,AU,2022-04-05 02:19:04,-19.25,146.8,86.88,58,20,12.66
85,Smithers,CA,2022-04-05 02:15:11,54.7804,-127.1743,41.32,52,100,3.44
86,Kerema,PG,2022-04-05 02:19:05,-7.9631,145.7785,82.92,70,100,5.37
87,Puerto Ayora,EC,2022-04-05 02:19:05,-0.7393,-90.3518,76.55,94,29,6.06
88,Jiuquan,CN,2022-04-05 02:19:06,39.7432,98.5174,58.14,11,0,1.52
89,Umm Lajj,SA,2022-04-05 02:19:06,25.0213,37.2685,76.03,59,0,6.58
90,Maltahohe,NA,2022-04-05 02:19:07,-24.8333,16.9833,55.04,35,0,5.57
91,Beloha,MG,2022-04-05 02:20:08,-25.1667,45.05,70.3,89,14,5.03
92,Laguna,US,2022-04-05 02:19:58,38.421,-121.4238,69.94,65,0,13.8
93,Katsuura,JP,2022-04-05 02:20:09,35.1333,140.3,52.02,89,99,21.74
